Transaction,Item,date_time,period_day,weekday_weekend
1,Bread,10/30/2016 9:58,morning,weekend
2,Scandinavian,10/30/2016 10:05,morning,weekend
2,Scandinavian,10/30/2016 10:05,morning,weekend
3,Hot chocolate,10/30/2016 10:07,morning,weekend
3,Jam,10/30/2016 10:07,morning,weekend
3,Cookies,10/30/2016 10:07,morning,weekend
4,Muffin,10/30/2016 10:08,morning,weekend
5,Coffee,10/30/2016 10:13,morning,weekend
5,Pastry,10/30/2016 10:13,morning,weekend
5,Bread,10/30/2016 10:13,morning,weekend
6,Medialuna,10/30/2016 10:16,morning,weekend
6,Pastry,10/30/2016 10:16,morning,weekend
6,Muffin,10/30/2016 10:16,morning,weekend
7,Medialuna,10/30/2016 10:19,morning,weekend
7,Pastry,10/30/2016 10:19,morning,weekend
7,Coffee,10/30/2016 10:19,morning,weekend
7,Tea,10/30/2016 10:19,morning,weekend
8,Pastry,10/30/2016 10:20,morning,weekend
8,Bread,10/30/2016 10:20,morning,weekend
9,Bread,10/30/2016 10:21,morning,weekend
9,Muffin,10/30/2016 10:21,morning,weekend
10,Scandinavian,10/30/2016 10:25,morning,weekend
10,Medialuna,10/30/2016 10:25,morning,weekend
11,Bread,10/30/2016 10:27,morning,weekend
11,Medialuna,10/30/2016 10:27,morning,weekend
11,Bread,10/30/2016 10:27,morning,weekend
12,Jam,10/30/2016 10:30,morning,weekend
12,Coffee,10/30/2016 10:30,morning,weekend
12,Tartine,10/30/2016 10:30,morning,weekend
12,Pastry,10/30/2016 10:30,morning,weekend
12,Tea,10/30/2016 10:30,morning,weekend
13,Basket,10/30/2016 10:31,morning,weekend
13,Bread,10/30/2016 10:31,morning,weekend
13,Coffee,10/30/2016 10:31,morning,weekend
14,Bread,10/30/2016 10:32,morning,weekend
14,Medialuna,10/30/2016 10:32,morning,weekend
14,Pastry,10/30/2016 10:32,morning,weekend
15,Mineral water,10/30/2016 10:34,morning,weekend
15,Scandinavian,10/30/2016 10:34,morning,weekend
16,Bread,10/30/2016 10:37,morning,weekend
16,Medialuna,10/30/2016 10:37,morning,weekend
16,Coffee,10/30/2016 10:37,morning,weekend
17,Hot chocolate,10/30/2016 10:38,morning,weekend
18,Farm House,10/30/2016 10:41,morning,weekend
19,Farm House,10/30/2016 10:43,morning,weekend
19,Bread,10/30/2016 10:43,morning,weekend
20,Bread,10/30/2016 10:45,morning,weekend
20,Medialuna,10/30/2016 10:45,morning,weekend
21,Coffee,10/30/2016 10:49,morning,weekend
21,Coffee,10/30/2016 10:49,morning,weekend
21,Medialuna,10/30/2016 10:49,morning,weekend
21,Bread,10/30/2016 10:49,morning,weekend
22,Jam,10/30/2016 10:52,morning,weekend
23,Scandinavian,10/30/2016 10:53,morning,weekend
23,Muffin,10/30/2016 10:53,morning,weekend
24,Bread,10/30/2016 10:54,morning,weekend
25,Scandinavian,10/30/2016 10:55,morning,weekend
26,Fudge,10/30/2016 10:56,morning,weekend
27,Scandinavian,10/30/2016 11:02,morning,weekend
28,Coffee,10/30/2016 11:03,morning,weekend
